sku,product_name,category,price,in_stock,rating,description,launch_date
SKU-100024,Cordless Speaker,Garden,$675.99,true,3.8,Backed by responsive customer support and easy returns. A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools.,2023-03-14
SKU-100025,Ergonomic Headphones,Office,812.99,false,2.3,Ships flat and assembles in under ten minutes with no tools. Handles heavy daily use without losing performance. A customer favourite that consistently earns five-star reviews.,2023-11-22
SKU-100026,Lightweight Headphones,Automotive,301.99,false,4.5,"Rated best-in-class for battery life by independent reviewers. Designed in Scandinavia with a minimalist, timeless look. Ships flat and assembles in under ten minutes with no tools.",2023-07-17
SKU-100027,Premium Drone,Home & Kitchen,703.99,false,1.8,,2023-06-17
SKU-100028,Premium Headphones,Toys,"$1,286.99",false,1.5,Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance. Ships flat and assembles in under ten minutes with no tools.,2023-03-27
SKU-100029,Cordless Kettle,Garden,1748.99,false,2.6,Ships flat and assembles in under ten minutes with no tools. Rated best-in-class for battery life by independent reviewers. Engineered for everyday durability with a two-year warranty.,2023-03-14
SKU-100030,Eco-Friendly Headphones,Office,157.99,true,4.8,Backed by responsive customer support and easy returns. Handles heavy daily use without losing performance. Engineered for everyday durability with a two-year warranty.,2023-06-18
SKU-100031,Cordless Desk Lamp,Electronics,1906.99,true,3.5,Backed by responsive customer support and easy returns. Engineered for everyday durability with a two-year warranty. Ships flat and assembles in under ten minutes with no tools.,2023-05-21
SKU-100032,Rugged Water Bottle,Beauty,$633.99,true,2.2,,2023-09-18
SKU-100033,Premium Chair,Garden,1062.99,false,2.0,"Backed by responsive customer support and easy returns. Designed in Scandinavia with a minimalist, timeless look. Ships flat and assembles in under ten minutes with no tools.",2023-06-07
SKU-100034,Compact Backpack,Home & Kitchen,"$1,713.99",true,2.6,,2023-11-27
SKU-100035,Compact Tent,Outdoor,1791.99,true,3.4,Backed by responsive customer support and easy returns. Made from recycled materials and fully recyclable packaging. Engineered for everyday durability with a two-year warranty.,2023-06-18
SKU-100036,Lightweight Drone,Outdoor,$671.99,true,4.9,"Designed in Scandinavia with a minimalist, timeless look. Made from recycled materials and fully recyclable packaging. Engineered for everyday durability with a two-year warranty.",2023-09-21
SKU-100037,Rugged Chair,Home & Kitchen,$420.99,false,1.4,Engineered for everyday durability with a two-year warranty. Rated best-in-class for battery life by independent reviewers. Handles heavy daily use without losing performance.,2023-02-19
SKU-100038,Ergonomic Drone,Garden,"$1,970.99",true,unrated,"Backed by responsive customer support and easy returns. Designed in Scandinavia with a minimalist, timeless look. A customer favourite that consistently earns five-star reviews.",2023-01-27
SKU-100039,Rugged Speaker,Home & Kitchen,1473.99,true,3.9,Ships flat and assembles in under ten minutes with no tools. Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance.,2023-06-04
SKU-100040,Cordless Desk Lamp,Garden,1720.99,false,3.2,Engineered for everyday durability with a two-year warranty. Made from recycled materials and fully recyclable packaging. A customer favourite that consistently earns five-star reviews.,2023-09-18
SKU-100041,Eco-Friendly Headphones,Toys,$197.99,true,4.0,"Made from recycled materials and fully recyclable packaging. Ships flat and assembles in under ten minutes with no tools. Designed in Scandinavia with a minimalist, timeless look.",2023-08-16
SKU-100042,Compact Kettle,Office,"$1,740.99",true,2.9,Rated best-in-class for battery life by independent reviewers. A customer favourite that consistently earns five-star reviews. Handles heavy daily use without losing performance.,2023-12-10
SKU-100043,Stainless Water Bottle,Electronics,"$1,281.99",true,1.0,"A customer favourite that consistently earns five-star reviews. Rated best-in-class for battery life by independent reviewers. Designed in Scandinavia with a minimalist, timeless look.",2023-08-15
SKU-100044,Lightweight Water Bottle,Electronics,$964.99,false,5.0,,2023-09-15
SKU-100045,Premium Kettle,Electronics,$559.99,true,4.7,Backed by responsive customer support and easy returns. Rated best-in-class for battery life by independent reviewers. Ships flat and assembles in under ten minutes with no tools.,2023-11-17
SKU-100046,Stainless Tent,Automotive,$581.99,true,3.8,Rated best-in-class for battery life by independent reviewers. Engineered for everyday durability with a two-year warranty. Made from recycled materials and fully recyclable packaging.,2023-07-10
SKU-100047,Premium Drone,Home & Kitchen,297.99,false,2.4,"Designed in Scandinavia with a minimalist, timeless look. Handles heavy daily use without losing performance. Made from recycled materials and fully recyclable packaging.",2023-04-23
SKU-100048,Ergonomic Chair,Electronics,1855.99,false,2.0,Handles heavy daily use without losing performance. A customer favourite that consistently earns five-star reviews. Rated best-in-class for battery life by independent reviewers.,2023-05-04
SKU-100049,Lightweight Water Bottle,Automotive,1718.99,false,3.5,Made from recycled materials and fully recyclable packaging. Handles heavy daily use without losing performance. Rated best-in-class for battery life by independent reviewers.,2023-07-01
SKU-100050,Cordless Desk Lamp,Electronics,1568.99,true,4.7,Handles heavy daily use without losing performance. Made from recycled materials and fully recyclable packaging. Backed by responsive customer support and easy returns.,2023-11-28
SKU-100051,Rugged Backpack,Garden,$595.99,false,4.6,"Designed in Scandinavia with a minimalist, timeless look. Rated best-in-class for battery life by independent reviewers. Handles heavy daily use without losing performance.",2023-12-21
SKU-100052,Ergonomic Headphones,Outdoor,$541.99,true,2.2,Ships flat and assembles in under ten minutes with no tools. A customer favourite that consistently earns five-star reviews. Backed by responsive customer support and easy returns.,2023-08-18
SKU-100053,Ergonomic Backpack,Office,936.99,true,5.0,Ships flat and assembles in under ten minutes with no tools. A customer favourite that consistently earns five-star reviews. Rated best-in-class for battery life by independent reviewers.,2023-06-08
SKU-100054,Ergonomic Chair,Office,$763.99,false,4.5,Backed by responsive customer support and easy returns. Rated best-in-class for battery life by independent reviewers. Engineered for everyday durability with a two-year warranty.,2023-10-12
SKU-100055,Ergonomic Chair,Garden,$266.99,false,1.4,Backed by responsive customer support and easy returns. Handles heavy daily use without losing performance. Engineered for everyday durability with a two-year warranty.,2023-07-23
SKU-100056,Compact Headphones,Automotive,1843.99,false,4.9,A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools. Engineered for everyday durability with a two-year warranty.,2023-03-17
SKU-100057,Premium Speaker,Home & Kitchen,"$1,999.99",true,4.8,Rated best-in-class for battery life by independent reviewers. Ships flat and assembles in under ten minutes with no tools. Backed by responsive customer support and easy returns.,2023-11-23
SKU-100058,Ergonomic Headphones,Electronics,$631.99,true,3.5,Backed by responsive customer support and easy returns. A customer favourite that consistently earns five-star reviews. Handles heavy daily use without losing performance.,2023-05-08
SKU-100059,Stainless Water Bottle,Beauty,"$1,627.99",true,1.0,A customer favourite that consistently earns five-star reviews. Backed by responsive customer support and easy returns. Ships flat and assembles in under ten minutes with no tools.,2023-01-14
SKU-100060,Stainless Chair,Electronics,1339.99,false,1.2,"Made from recycled materials and fully recyclable packaging. Designed in Scandinavia with a minimalist, timeless look. A customer favourite that consistently earns five-star reviews.",2023-04-16
SKU-100061,Ergonomic Desk Lamp,Home & Kitchen,1434.99,false,3.9,Ships flat and assembles in under ten minutes with no tools. A customer favourite that consistently earns five-star reviews. Made from recycled materials and fully recyclable packaging.,2023-05-25
SKU-100062,Eco-Friendly Headphones,Garden,"$1,688.99",true,2.9,Made from recycled materials and fully recyclable packaging. A customer favourite that consistently earns five-star reviews. Handles heavy daily use without losing performance.,2023-01-20
SKU-100063,Modular Backpack,Automotive,1897.99,true,1.2,Engineered for everyday durability with a two-year warranty. Ships flat and assembles in under ten minutes with no tools. Made from recycled materials and fully recyclable packaging.,2023-12-11
SKU-100064,Lightweight Backpack,Garden,"$1,509.99",true,4.7,"Backed by responsive customer support and easy returns. Designed in Scandinavia with a minimalist, timeless look. Handles heavy daily use without losing performance.",2023-06-11
SKU-100065,Premium Drone,Automotive,$915.99,true,1.0,Made from recycled materials and fully recyclable packaging. A customer favourite that consistently earns five-star reviews. Rated best-in-class for battery life by independent reviewers.,2023-05-27
SKU-100066,Lightweight Drone,Garden,"$1,655.99",true,1.2,"Designed in Scandinavia with a minimalist, timeless look. Rated best-in-class for battery life by independent reviewers. A customer favourite that consistently earns five-star reviews.",2023-01-21
SKU-100067,Stainless Headphones,Home & Kitchen,516.99,false,1.2,"Made from recycled materials and fully recyclable packaging. Designed in Scandinavia with a minimalist, timeless look. Engineered for everyday durability with a two-year warranty.",2023-06-12
SKU-100068,Eco-Friendly Water Bottle,Home & Kitchen,$566.99,true,2.0,Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance. Ships flat and assembles in under ten minutes with no tools.,2023-12-15
SKU-100069,Stainless Backpack,Garden,1598.99,true,4.2,"Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance. Designed in Scandinavia with a minimalist, timeless look.",2023-12-25
SKU-100070,Stainless Drone,Electronics,$318.99,true,2.3,Handles heavy daily use without losing performance. A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools.,2023-02-21
SKU-100071,Premium Headphones,Toys,995.99,true,1.6,Made from recycled materials and fully recyclable packaging. Engineered for everyday durability with a two-year warranty. A customer favourite that consistently earns five-star reviews.,2023-12-15
SKU-100072,Lightweight Speaker,Electronics,$363.99,false,unrated,Backed by responsive customer support and easy returns. Rated best-in-class for battery life by independent reviewers. A customer favourite that consistently earns five-star reviews.,2023-05-24
SKU-100073,Lightweight Backpack,Toys,416.99,true,2.0,"Designed in Scandinavia with a minimalist, timeless look. Engineered for everyday durability with a two-year warranty. Made from recycled materials and fully recyclable packaging.",2023-04-17
SKU-100074,Premium Blender,Garden,"$1,086.99",true,3.6,A customer favourite that consistently earns five-star reviews. Rated best-in-class for battery life by independent reviewers. Engineered for everyday durability with a two-year warranty.,2023-04-04
SKU-100075,Cordless Backpack,Garden,$112.99,false,4.7,"Engineered for everyday durability with a two-year warranty. A customer favourite that consistently earns five-star reviews. Designed in Scandinavia with a minimalist, timeless look.",2023-10-12
SKU-100076,Lightweight Water Bottle,Home & Kitchen,85.99,true,2.4,Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance. Rated best-in-class for battery life by independent reviewers.,2023-06-06
SKU-100077,Cordless Tent,Electronics,"$1,280.99",false,1.8,Ships flat and assembles in under ten minutes with no tools. Handles heavy daily use without losing performance. Made from recycled materials and fully recyclable packaging.,2023-03-21
SKU-100078,Ergonomic Water Bottle,Toys,"$1,102.99",false,2.6,"Engineered for everyday durability with a two-year warranty. Rated best-in-class for battery life by independent reviewers. Designed in Scandinavia with a minimalist, timeless look.",2023-06-14
SKU-100079,Ergonomic Desk Lamp,Home & Kitchen,46.99,false,3.6,Rated best-in-class for battery life by independent reviewers. Made from recycled materials and fully recyclable packaging. Engineered for everyday durability with a two-year warranty.,2023-07-19
SKU-100080,Compact Blender,Outdoor,755.99,false,4.1,Ships flat and assembles in under ten minutes with no tools. Backed by responsive customer support and easy returns. Handles heavy daily use without losing performance.,2023-12-17
SKU-100081,Rugged Headphones,Electronics,307.99,false,2.1,A customer favourite that consistently earns five-star reviews. Handles heavy daily use without losing performance. Ships flat and assembles in under ten minutes with no tools.,2023-01-16
SKU-100082,Rugged Desk Lamp,Automotive,118.99,true,unrated,A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools. Backed by responsive customer support and easy returns.,2023-07-17
SKU-100083,Lightweight Blender,Home & Kitchen,794.99,false,1.5,Ships flat and assembles in under ten minutes with no tools. Made from recycled materials and fully recyclable packaging. Backed by responsive customer support and easy returns.,2023-11-25
SKU-100084,Ergonomic Chair,Beauty,1338.99,false,2.2,,2023-08-15
SKU-100085,Ergonomic Headphones,Electronics,924.99,true,4.3,,2023-08-17
SKU-100086,Premium Drone,Electronics,"$1,053.99",true,1.2,,2023-02-20
SKU-100087,Eco-Friendly Backpack,Office,"$1,508.99",true,1.8,"Designed in Scandinavia with a minimalist, timeless look. Backed by responsive customer support and easy returns. Rated best-in-class for battery life by independent reviewers.",2023-10-09
SKU-100088,Stainless Desk Lamp,Toys,1679.99,true,1.6,"Designed in Scandinavia with a minimalist, timeless look. Rated best-in-class for battery life by independent reviewers. Engineered for everyday durability with a two-year warranty.",2023-07-06
SKU-100089,Rugged Water Bottle,Electronics,1926.99,true,3.7,"Designed in Scandinavia with a minimalist, timeless look. Handles heavy daily use without losing performance. Made from recycled materials and fully recyclable packaging.",2023-10-23
SKU-100090,Ergonomic Drone,Toys,"$1,816.99",false,2.0,"Designed in Scandinavia with a minimalist, timeless look. Backed by responsive customer support and easy returns. Ships flat and assembles in under ten minutes with no tools.",2023-02-15
SKU-100091,Eco-Friendly Water Bottle,Beauty,$480.99,true,2.2,Engineered for everyday durability with a two-year warranty. Ships flat and assembles in under ten minutes with no tools. Handles heavy daily use without losing performance.,2023-11-14
SKU-100092,Stainless Desk Lamp,Home & Kitchen,1058.99,true,4.6,Engineered for everyday durability with a two-year warranty. A customer favourite that consistently earns five-star reviews. Backed by responsive customer support and easy returns.,2023-02-17
SKU-100093,Modular Backpack,Office,$740.99,false,2.7,,2023-04-23
SKU-100094,Eco-Friendly Chair,Toys,$314.99,true,1.3,"Engineered for everyday durability with a two-year warranty. Designed in Scandinavia with a minimalist, timeless look. Backed by responsive customer support and easy returns.",2023-10-21
SKU-100095,Compact Blender,Home & Kitchen,917.99,false,2.0,,2023-02-01
SKU-100096,Cordless Kettle,Automotive,"$1,263.99",true,1.6,Backed by responsive customer support and easy returns. Engineered for everyday durability with a two-year warranty. Rated best-in-class for battery life by independent reviewers.,2023-12-26
SKU-100097,Stainless Headphones,Garden,$987.99,true,2.5,Made from recycled materials and fully recyclable packaging. Engineered for everyday durability with a two-year warranty. Rated best-in-class for battery life by independent reviewers.,2023-01-04
SKU-100098,Cordless Chair,Toys,1834.99,false,3.8,,2023-05-08
SKU-100099,Lightweight Chair,Beauty,"$1,732.99",true,4.8,"Handles heavy daily use without losing performance. A customer favourite that consistently earns five-star reviews. Designed in Scandinavia with a minimalist, timeless look.",2023-11-27
SKU-100100,Compact Chair,Office,970.99,false,4.4,Made from recycled materials and fully recyclable packaging. A customer favourite that consistently earns five-star reviews. Backed by responsive customer support and easy returns.,2023-10-06
SKU-100101,Rugged Drone,Outdoor,$305.99,true,unrated,Engineered for everyday durability with a two-year warranty. A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools.,2023-11-02
SKU-100102,Smart Desk Lamp,Electronics,"$1,436.99",false,unrated,Ships flat and assembles in under ten minutes with no tools. A customer favourite that consistently earns five-star reviews. Handles heavy daily use without losing performance.,2023-01-02
SKU-100103,Stainless Headphones,Outdoor,"$1,953.99",true,4.3,Made from recycled materials and fully recyclable packaging. Rated best-in-class for battery life by independent reviewers. Handles heavy daily use without losing performance.,2023-05-01
SKU-100104,Smart Kettle,Garden,534.99,false,1.2,,2023-09-25
SKU-100105,Modular Desk Lamp,Electronics,719.99,false,3.8,Rated best-in-class for battery life by independent reviewers. Made from recycled materials and fully recyclable packaging. Engineered for everyday durability with a two-year warranty.,2023-05-25
SKU-100106,Stainless Backpack,Garden,"$1,546.99",false,2.4,Backed by responsive customer support and easy returns. A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools.,2023-04-23
SKU-100107,Stainless Speaker,Electronics,$483.99,false,1.4,"Designed in Scandinavia with a minimalist, timeless look. Engineered for everyday durability with a two-year warranty. Made from recycled materials and fully recyclable packaging.",2023-12-03
SKU-100108,Eco-Friendly Chair,Outdoor,$873.99,false,2.5,Made from recycled materials and fully recyclable packaging. A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools.,2023-12-25
SKU-100109,Cordless Backpack,Garden,"$1,248.99",false,2.4,Rated best-in-class for battery life by independent reviewers. Made from recycled materials and fully recyclable packaging. Handles heavy daily use without losing performance.,2023-05-19
SKU-100110,Cordless Desk Lamp,Toys,267.99,false,2.8,"Rated best-in-class for battery life by independent reviewers. Designed in Scandinavia with a minimalist, timeless look. Ships flat and assembles in under ten minutes with no tools.",2023-12-11
SKU-100111,Lightweight Water Bottle,Electronics,1078.99,true,1.6,Ships flat and assembles in under ten minutes with no tools. A customer favourite that consistently earns five-star reviews. Made from recycled materials and fully recyclable packaging.,2023-03-26
SKU-100112,Premium Headphones,Toys,1510.99,true,2.7,,2023-07-23
SKU-100113,Eco-Friendly Kettle,Automotive,1033.99,true,2.9,Made from recycled materials and fully recyclable packaging. Handles heavy daily use without losing performance. A customer favourite that consistently earns five-star reviews.,2023-10-24
SKU-100114,Lightweight Backpack,Electronics,"$1,334.99",false,unrated,Handles heavy daily use without losing performance. Rated best-in-class for battery life by independent reviewers. A customer favourite that consistently earns five-star reviews.,2023-02-14
SKU-100115,Eco-Friendly Chair,Garden,1611.99,false,3.9,Engineered for everyday durability with a two-year warranty. Backed by responsive customer support and easy returns. Made from recycled materials and fully recyclable packaging.,2023-11-28
SKU-100116,Stainless Headphones,Home & Kitchen,1840.99,false,4.1,"Made from recycled materials and fully recyclable packaging. Ships flat and assembles in under ten minutes with no tools. Designed in Scandinavia with a minimalist, timeless look.",2023-04-17
SKU-100117,Cordless Blender,Beauty,216.99,false,3.2,"Handles heavy daily use without losing performance. Designed in Scandinavia with a minimalist, timeless look. Made from recycled materials and fully recyclable packaging.",2023-11-06
SKU-100118,Smart Blender,Toys,$812.99,false,unrated,,2023-07-14
SKU-100119,Lightweight Water Bottle,Automotive,1439.99,true,3.3,Handles heavy daily use without losing performance. Made from recycled materials and fully recyclable packaging. Ships flat and assembles in under ten minutes with no tools.,2023-02-26
SKU-100120,Lightweight Backpack,Beauty,"$1,644.99",false,2.9,A customer favourite that consistently earns five-star reviews. Rated best-in-class for battery life by independent reviewers. Backed by responsive customer support and easy returns.,2023-08-12
SKU-100121,Eco-Friendly Chair,Outdoor,"$1,613.99",false,2.1,"Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance. Designed in Scandinavia with a minimalist, timeless look.",2023-06-08
SKU-100122,Modular Headphones,Beauty,627.99,true,2.9,,2023-10-11
SKU-100123,Modular Blender,Home & Kitchen,"$1,614.99",true,3.1,"Ships flat and assembles in under ten minutes with no tools. Designed in Scandinavia with a minimalist, timeless look. Rated best-in-class for battery life by independent reviewers.",2023-02-19
SKU-100124,Smart Backpack,Office,$301.99,false,1.7,"Rated best-in-class for battery life by independent reviewers. Backed by responsive customer support and easy returns. Designed in Scandinavia with a minimalist, timeless look.",2023-02-22
SKU-100125,Cordless Headphones,Garden,1839.99,true,1.8,Ships flat and assembles in under ten minutes with no tools. Rated best-in-class for battery life by independent reviewers. Made from recycled materials and fully recyclable packaging.,2023-03-16
SKU-100126,Stainless Desk Lamp,Garden,"$1,018.99",true,2.9,Engineered for everyday durability with a two-year warranty. Ships flat and assembles in under ten minutes with no tools. Rated best-in-class for battery life by independent reviewers.,2023-10-16
SKU-100127,Premium Backpack,Beauty,616.99,true,2.5,Engineered for everyday durability with a two-year warranty. Backed by responsive customer support and easy returns. A customer favourite that consistently earns five-star reviews.,2023-06-26
SKU-100128,Compact Desk Lamp,Automotive,1054.99,true,2.9,"Designed in Scandinavia with a minimalist, timeless look. Engineered for everyday durability with a two-year warranty. A customer favourite that consistently earns five-star reviews.",2023-08-25
SKU-100129,Ergonomic Water Bottle,Home & Kitchen,"$1,085.99",false,2.1,Backed by responsive customer support and easy returns. Rated best-in-class for battery life by independent reviewers. Made from recycled materials and fully recyclable packaging.,2023-09-09
SKU-100130,Premium Drone,Office,1046.99,false,4.9,Backed by responsive customer support and easy returns. Ships flat and assembles in under ten minutes with no tools. A customer favourite that consistently earns five-star reviews.,2023-02-26
SKU-100131,Ergonomic Water Bottle,Electronics,825.99,true,3.2,Engineered for everyday durability with a two-year warranty. Ships flat and assembles in under ten minutes with no tools. Made from recycled materials and fully recyclable packaging.,2023-11-02
SKU-100132,Premium Desk Lamp,Home & Kitchen,1034.99,false,unrated,"Rated best-in-class for battery life by independent reviewers. Engineered for everyday durability with a two-year warranty. Designed in Scandinavia with a minimalist, timeless look.",2023-01-14
SKU-100133,Eco-Friendly Speaker,Toys,"$1,595.99",false,2.5,Rated best-in-class for battery life by independent reviewers. Made from recycled materials and fully recyclable packaging. Engineered for everyday durability with a two-year warranty.,2023-07-19
SKU-100134,Compact Headphones,Automotive,"$1,323.99",false,3.0,A customer favourite that consistently earns five-star reviews. Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance.,2023-10-19
SKU-100135,Cordless Headphones,Electronics,"$1,929.99",false,2.9,,2023-01-01
SKU-100136,Lightweight Headphones,Outdoor,"$1,409.99",false,4.9,"Engineered for everyday durability with a two-year warranty. Rated best-in-class for battery life by independent reviewers. Designed in Scandinavia with a minimalist, timeless look.",2023-08-24
SKU-100137,Premium Water Bottle,Garden,"$1,533.99",false,2.5,,2023-01-01
SKU-100138,Modular Backpack,Garden,"$1,818.99",true,2.6,"Designed in Scandinavia with a minimalist, timeless look. Rated best-in-class for battery life by independent reviewers. Backed by responsive customer support and easy returns.",2023-08-22
SKU-100139,Ergonomic Tent,Automotive,$349.99,false,2.5,Backed by responsive customer support and easy returns. Handles heavy daily use without losing performance. A customer favourite that consistently earns five-star reviews.,2023-05-02
