Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
30521,Italy,"This sparkling wine has a fragrance of honey, almond and banana peel. The palate is a bit evolved, but shows ripe yellow apple, white chocolate, flint and pastry notes. It has an elegant perlage and closes on an almond note.",Comitissa Glod Gran Riserva,90,60.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Lorenz Martini 2002 Comitissa Glod Gran Riserva Sparkling (Alto Adige),Sparkling Blend,Lorenz Martini
60127,US,"Slightly green and still quite stiff, this matches tart cranberry fruit to green herbs.",Mae's Vineyard,87,35.0,Oregon,Applegate Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Quady North 2011 Mae's Vineyard Cabernet Franc (Applegate Valley),Cabernet Franc,Quady North
35821,France,"Ripe, creamy wood aged wine, this is rich and smoothly textured. It has weight, apple and pear flavors. Full in the mouth, it may be missing out on the freshness in favor of power.",Haute-Serre Albesco,88,29.0,Southwest France,Côtes du Lot,,Roger Voss,@vossroger,Georges Vigouroux 2011 Haute-Serre Albesco Chardonnay (Côtes du Lot),Chardonnay,Georges Vigouroux
2610,US,"Lots of muscle in this punchy Sauvignon Blanc, with its ripe lemon, lime, orange and papaya flavors, made bright by crisp acidity. Despite a streak of honey, the finish is dry. Additional richness is provided by barrel fermentation and the addition of a little Sémillon.",,90,24.0,California,Napa Valley,Napa,,,Bougetz 2012 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Bougetz
70605,Italy,Runcaris is the easiest of Fattori's three Garganega-based wines. It shows beautiful notes of citrus and honeydew melon with flavors of white peach and a touch of exotic fruit. The wine does show pretty aromatic intensity.,Runcaris,86,15.0,Veneto,Soave Classico,,,,Fattori 2011 Runcaris  (Soave Classico),Garganega,Fattori
88014,US,"Something like a cross between a silky Pinot Noir and a soft Merlot, this is a gentle, fruity wine, with berry, tobacco, cola and spice flavors. A nice scour of tannins suggests this will pair with rich, oily meats and cheeses.",,86,16.0,California,Sonoma County,Sonoma,,,Valley of the Moon 2009 Sangiovese (Sonoma County),Sangiovese,Valley of the Moon
7581,Greece,"This sophisticated Sauvignon Blanc sets itself apart with its rich nose of nuts, vanilla and flowers, followed by pretty flavors of spice and white flowers and fruit. Acidity balances the fruit. A fuller-bodied style that can handle richer seafood dishes.",Amethystos,85,22.0,Drama,,,Susan Kostrzewa,@suskostrzewa,Domaine Costa Lazaridi 2008 Amethystos Sauvignon Blanc (Drama),Sauvignon Blanc,Domaine Costa Lazaridi
83417,US,"This wine takes time to come around, but once it does, oak and pencil shavings season an herbal core that's tight and classic. Black licorice and espresso enter the fray, expanding on the palate's blackberry and cassis. Cellar through 2020–2022.",Beckstoffer Georges III,91,95.0,California,Rutherford,Napa,Virginie Boone,@vboone,Keating 2012 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Keating
20100,US,"This wine is pale peach in color. It starts with aromas of strawberry, herb and spice that lead to juicy, just-off-dry, well-balanced fruit flavors that provide a whole lot of appeal.",Alder Ridge Vineyard Rosé,88,22.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2015 Alder Ridge Vineyard Rosé Grenache (Horse Heaven Hills),Grenache,L'Ecole No. 41
126374,Germany,"Moderately sweet and viscous, without the intense concentration seen in some of the vintage's BAs, this remains a skilfully balanced wine, with candied pineapple, citrus and honey balanced by fresh acidity. Drink it over the next 25 years or so.",Rosa-Goldlack Beerenauslese 375 ml,91,,Rheingau,,,Joe Czerwinski,@JoeCz,Schloss Johannisberger 2007 Rosa-Goldlack Beerenauslese 375 ml Riesling (Rheingau),Riesling,Schloss Johannisberger
63672,Italy,"Attractive on any table thanks to its vintage-automobile label artwork, this bright Chianti Classico shows ripe fruit aromas of cherry liqueur and plum cake backed by soft, savory exotic spice. It's crisp but velvety smooth on the close.",Belvedere Riserva,89,28.0,Tuscany,Chianti Classico,,,,Querceto di Castellina 2007 Belvedere Riserva  (Chianti Classico),Sangiovese,Querceto di Castellina
94865,Italy,"Alluring scents of rose, clove, exotic spice and a balsamic note of menthol take shape in the glass. The savory, structured palate doles out raspberry compote, black cherry, licorice and an espresso note alongside a backbone of firm but refined tannins. Don't even attempt this before 2020.",Villero,91,75.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Oddero 2012 Villero  (Barolo),Nebbiolo,Oddero
13883,US,"Although it's totally dry, this Merlot is a little too sharp, with a bite of acidity marring otherwise pleasant flavors of cherries, chocolate, mint and herbs. At its best now.",,85,30.0,California,Lake County,,,,Zina Hyde Cunningham 2006 Merlot (Lake County),Merlot,Zina Hyde Cunningham
84140,US,"Though labeled merlot, this is truly a Bordeaux-style blend with Cabernet Sauvignon (6%), Malbec (5%), and Petit Verdot (2%) added to the mix. It is reserved in style with notes of cherry, dried herbs and pickling spices backed by firm, dry tannins.",,87,20.0,Oregon,Southern Oregon,Southern Oregon,Sean P. Sullivan,@wawinereport,Abacela 2009 Merlot (Southern Oregon),Merlot,Abacela
116330,Australia,"The 2004 vintage favored Cabernet, and that quality has evidently trickled down to this bargain from Penfolds. Hints of brown sugar and raisin on the nose give an impression of great ripeness, but that's balanced by fresh black currant, coffee and black olive flavors. Tannins are supple, but finish on a slightly dusty note, giving the wine enough backbone to pair with steak.",Koonunga Hill,87,11.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Penfolds 2004 Koonunga Hill Cabernet Sauvignon (South Eastern Australia),Cabernet Sauvignon,Penfolds
109485,France,"Certified French organic with this vintage, this 100% Merlot is ripe, full-bodied and already showing its potential richness. Terroir-driven black fruits and generous tannins give a warm character to the wine that is then backed by black fruits and final acidity. This is a generous wine from the Verdier family, ready to age. Drink from 2018.",,89,18.0,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château Brethous 2012  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château Brethous
85168,Italy,"This offers intriguing aromas of chopped mint, menthol, leather, soil and spiced berry. The mint note carries over to the chewy palate, along with soothing licorice, clove and tobacco, all of which add depth to the core of juicy black cherry. Velvety tannins lend structure and polish. It's already accessible and will make wonderful imbibing over the next several years. Drink through 2025.",Bricco delle Viole Riserva,94,120.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Viberti 2010 Bricco delle Viole Riserva  (Barolo),Nebbiolo,Viberti
97711,US,"This Riesling is slightly sweet, but it's balanced by crisp acidity. The tangerine, green apple and peach flavors have a honeyed finish.",Vintner's Reserve,84,12.0,California,Monterey County,Central Coast,,,Kendall-Jackson 2009 Vintner's Reserve Riesling (Monterey County),Riesling,Kendall-Jackson
4174,US,"Dark, brooding tones of oak, caramel and hazelnut form around medium acidity and a full-figured body of voluptuous texture in this Blanc de Blancs, a combination of 95% Chardonnay and 5% Pinot Grigio.",Blanc de Blancs Reserve,87,42.0,California,Napa County,Napa,Virginie Boone,@vboone,Mumm Napa 2011 Blanc de Blancs Reserve Sparkling (Napa County),Sparkling Blend,Mumm Napa
67047,US,"The aromas are completely dominated by oaky tones of toast, yet the palate shows the true character of this wine: juicy red-currant and blackberry flavors pop against a veil of lightly grilled herbs. Medium in weight and round in feel, the palate shows an appropriate balance of tannin and acid. While this is a late release, it still needs a few more years to integrate. Drink from 2017.",,87,25.0,Virginia,Monticello,,Alexander Peartree,,Veritas 2010 Cabernet Franc (Monticello),Cabernet Franc,Veritas
51857,US,"A complete wine in every way, this limited (three barrel) reserve opens with solid bass notes of thick wood and dark fruit. That platform of black cherry and cassis is adorned with light touches of pepper, vanilla, mocha and the streak of iron that seems to characterize many McMinnville wines. Drink 2015 through 2030.",Founders' Selection,93,100.0,Oregon,McMinnville,Willamette Valley,Paul Gregutt,@paulgwine ,Hyland 2012 Founders' Selection Pinot Noir (McMinnville),Pinot Noir,Hyland
2211,US,"A strong note of grapefruit skin and juice, from ruby red to yellow, melds with crushed chalk and cider on the nose of this bottling. The citrus zest is prominent on the palate, as is more apple cider and a solid pithy grip, proving quite intriguing texturally.",Mitzi,88,,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Myka 2014 Mitzi Chardonnay (Monterey County),Chardonnay,Myka
106164,Italy,"Made entirely with Sangiovese, this has a restrained nose that eventually reveals aromas of black-skinned fruit and leather. The straightforward approachable palate offers roasted coffee bean and dried cherry alongside round tannins. Enjoy soon.",Toscoforte,86,24.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Castello di Poppiano 2014 Toscoforte Red (Toscana),Red Blend,Castello di Poppiano
13273,Austria,"Fresh, fragrant and aromatic, this is a clean, clear, limpid wine. Its white fruit flavors are refreshingly crisp, offering delicious acidity. Finishes with a lively citrus aftertaste. Screwcap.",Steinterrassen,89,28.0,Kremstal,,,Roger Voss,@vossroger,Stadt Krems 2012 Steinterrassen Riesling (Kremstal),Riesling,Stadt Krems
124288,US,"Bold aromas, thick layers of fruit flavor, and a supple but steely texture of fine tannins and acidity add up to a powerful and complex wine that should improve with age. Pure, dark-fruit flavors are accented by smoke and cardamom while the structure is mouthpuckering with astringency but softened by the richness of body and fruit. Best after 2019.",Estate Grown,93,30.0,California,Red Hills Lake County,,Jim Gordon,@gordone_cellars,Obsidian Ridge 2012 Estate Grown Cabernet Sauvignon (Red Hills Lake County),Cabernet Sauvignon,Obsidian Ridge
26764,Italy,"Forest floor, resin, spiced plum and incense aromas lead the nose on this robust red. The chewy brawny palate delivers black cherry marinated in spirits, licorice, nutmeg and pipe tobacco while firm, velvety tannins provide the framework. Drink 2017 through 2026.",,92,59.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Venturini Massimino 2011  Amarone della Valpolicella Classico,Red Blend,Venturini Massimino
89175,Argentina,"Ripe, toasty, smoky aromas of blackberry, cassis, licorice and prune are gritty. This is big, tannic and blocky, with tartaric scrape. Flavors of blackberry, cassis, raw oak, licorice and spice finish with notes of toast, chocolate and baking spices. Drink this full-bodied, jammy blend of Malbec and four other red grapes through 2020.",Familia,92,58.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Durigutti 2010 Familia Red (Mendoza),Red Blend,Durigutti
73629,France,"This is a ripe wine with a good balance between the acidity and the rich yellow and pear fruit flavors. White peaches, quince and spiced apples all give a refreshing, fruity character to this full-bodied wine. Drink from 2016.",Classic,92,,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Domaine Sophie Cinier 2013 Classic  (Pouilly-Fuissé),Chardonnay,Domaine Sophie Cinier
64635,Australia,"This wine lacks a bit of intensity, but otherwise shows reasonably complex flavors of dried cherries and old wine barrels and a supple, creamy texure. Turns a bit tart and astringent on the finish, limiting its appeal.",,84,28.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Alta 2006 Pinot Noir (Adelaide Hills),Pinot Noir,Alta
79407,France,"Firm and tannic, this is a wine that offers good fruit along with its dark exterior. It has a smoky character, while the dark black fruit promises to give the wine a lift into the next 4–6 years.",,89,20.0,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Haut-Vigneau 2011  Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Vigneau
106690,US,"With its inviting apple blossom aromas, this wine is fleshy and bright, showing balance and complexity from start to lengthy finish. Lemongrass, nutmeg and wild vanilla flavors tease in the background.",Buena Tierra Vineyard,90,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Sleeping Giant 2014 Buena Tierra Vineyard Chardonnay (Russian River Valley),Chardonnay,Sleeping Giant
101453,Spain,"Syrupy red-berry and cherry aromas are medicinal, while the mouthfeel on this blend is hard and abrasive. Berry and herbal flavors are on the sour side, while the finish does nothing to bring this around.",Agostón,82,13.0,Northern Spain,Cariñena,,Michael Schachner,@wineschach,Bodegas Paniza 2013 Agostón Garnacha-Syrah (Cariñena),Garnacha-Syrah,Bodegas Paniza
95495,Bulgaria,This Bulgarian Syrah has aromas of black raspberry and black cherry with tastes of cherry vanilla and cherry cola in the mouth. The finish is smooth with velvety tannins.,Feux d'artifice,89,24.0,Thracian Valley,,,Jeff Jenssen,@worldwineguys,Ivo Varbanov 2011 Feux d'artifice Syrah (Thracian Valley),Syrah,Ivo Varbanov
49071,US,"New oak takes the lead on the nose of this wine, with notes of vanilla and toffee followed by cranberry and cherry. It's high octane, with a concentrated cherry flavor and alcoholic warmth.",,87,42.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,La Chanterelle 2012 Syrah (Wahluke Slope),Syrah,La Chanterelle
37115,US,"A blend of fruit from Seven Hills (75%), Octave (21%) and Pepper Bridge vineyards, this wine shows intriguing aromas of anise, cassis, herb and woodspice. It still seems to be in its shell. The flavors are dense and supple, rich but restrained with the tannins combed to a fine sheen.",,91,60.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Pepper Bridge 2011 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Pepper Bridge
87871,US,"Dusty tobacco meets plum skin and currant on the nose of this blend of Merlot, Petit Verdot and Cabernet Franc. The medium-bodied palate is round and lactic in feel, with grainy tannins giving ample support to the dark fruit tones.",Gabriel Archer Reserve,88,42.0,Virginia,Virginia,,Alexander Peartree,,The Williamsburg Winery 2013 Gabriel Archer Reserve Red (Virginia),Bordeaux-style Red Blend,The Williamsburg Winery
3731,Chile,"Basic plum aromas are woody and limited. This feels medium to full, with crispness and moderate tannins. Dry woody flavors of plum and currant finish with a freshening blast of lifting acidity.",,86,12.0,Central Valley,,,Michael Schachner,@wineschach,Cuna del Sol 2014 Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,Cuna del Sol
49201,Austria,"Subtle notes of white currant, lime peel and Conference pear mingle on nose and palate, framed by a linear, tight and toned body. This comes across as elegant, straight-backed and poised, showing off breeding and refinement. Refreshing, pure and very long.",Alte Reben Weisser Burgunder,92,37.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Ebner-Ebenauer 2012 Alte Reben Weisser Burgunder Weissburgunder (Niederösterreich),Weissburgunder,Ebner-Ebenauer
60664,US,"Citrusy aromas of lemon rind and lime juice are sharp but welcoming, enhanced by white pepper and Gala apple flesh. Flavors are broad with apples and more lemon rinds, made intriguing with a touch of herbs including fresh-plucked thyme.",,86,30.0,California,Temecula Valley,South Coast,Matt Kettmann,@mattkettmann,Fazeli Cellars 2014 Sauvignon Blanc (Temecula Valley),Sauvignon Blanc,Fazeli Cellars
116845,Italy,"Showing Bardolino's more serious side, this delicious red opens on aromas of wild berry, pressed blue flower, spice and a balsamic note. With a blend of Corvina and Rondinella, the elegant, well-structured palate delivers morello cherry, black pepper and clove. Refined tannins provide the polished framework. Drink through 2019.",Brol Grande,94,20.0,Veneto,Bardolino,,Kerin O’Keefe,@kerinokeefe,Le Fraghe 2015 Brol Grande  (Bardolino),Red Blend,Le Fraghe
125158,US,"Dry, tough in tannins and acidic, this Merlot isn't offering much now. Despite a rich, concentrated vein of cherries, it's a hard, almost old-fashioned wine. Your best bet is to age it, but no guarantees. Try after 2012.",,86,35.0,California,Mount Veeder,Napa,,,Mayacamas 2005 Merlot (Mount Veeder),Merlot,Mayacamas
70562,US,"As delicious as Pinot Noir gets, this has fireworks of raspberries, cherries and cola, and a sweet, mushroom-like essence of earth. Then the depth kicks in. It's not a big, tannic wine, but rather soft, with enormous charm and immediate appeal. Drink now–2016.",Roberts Road Vineyard,91,65.0,California,Sonoma Coast,Sonoma,,,Acacia 2010 Roberts Road Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Acacia
17309,Portugal,"Wood aging gives this ripe wine its toasty character. This texture is balanced by rich peach and apricot fruits, rounded and fruity. Old vines bring an extra concentration to this full, generous wine. Drink from 2016.",Reserva Branco,89,18.0,Douro,,,Roger Voss,@vossroger,Quinta de Porrais 2012 Reserva Branco White (Douro),Portuguese White,Quinta de Porrais
79138,Hungary,"An elegant nose of pepper and deeper berry/mocha aromas gives the nose of this wine a more mysterious character than the typical Cab Franc, adding to its appeal. On the palate, it's a medium-bodied, slightly spicy red with a touch of bitter tobacco on the finish. Friendly and flavorful.",Kúria Unfiltered,84,75.0,Villány,,,Susan Kostrzewa,@suskostrzewa,Malatinszky 2003 Kúria Unfiltered Cabernet Franc (Villány),Cabernet Franc,Malatinszky
108556,US,"A big Pinot Noir, rich and extracted, and lacking delicacy at this time. It's as full-bodied as a Rhône blend, with jammy cherry, blueberry and spice flavors, enriched by lots of sweet new oak. Delicious, yes, if you care to drink it now. Try cellaring for four or five years to see if it mellows.",Hyde Vineyard,89,65.0,California,Carneros,Napa-Sonoma,,,Patz & Hall 2009 Hyde Vineyard Pinot Noir (Carneros),Pinot Noir,Patz & Hall
57752,France,"90-92. Barrel sample. With all the freshness of the year, this wine is ripe and soft. It has acidity and juicy black-currant flavor. The wine is spiced, with its ripe tannins well integrated.",Barrel Sample,91,,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Haut-Marbuzet 2011 Barrel Sample  (Saint-Estèphe),Bordeaux-style Red Blend,Château Haut-Marbuzet
74232,Austria,"Candied apricots, blossom honey and notions of orange zest take turns in dazzling the nose and palate, while musky botrytis lends a rounded note to the mouthfeel, melding all together into sweet BA harmony. Simply lovely, now or in future years.",Beerenauslese Exquisit,93,23.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Nittnaus Hans und Christine 2012 Beerenauslese Exquisit White (Burgenland),White Blend,Nittnaus Hans und Christine
32584,US,"This medium-bodied wine is like a liquid fruit bowl, pouring out apple, melon, peach and banana flavors that taste almost sweet. It has a broad mouthfilling texture, a rather soft balance and a lingering fruity finish.",Mama Mia Estate Grown,86,24.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Naggiar 2016 Mama Mia Estate Grown White (Sierra Foothills),White Blend,Naggiar
53985,US,"Tastes hot as a chile pepper, and no wonder. The alcohol is 15.8%. Some red wines get away with it, but this one doesn't. The berry-cherry flavors are baked, and the wine is clumsy and inelegant.",Holystone,82,27.0,California,Paso Robles,Central Coast,,,Sextant 2006 Holystone Zinfandel (Paso Robles),Zinfandel,Sextant
102308,US,"A blend of 67% Sangiovese, 23% Cabernet Sauvignon and 10% Syrah, this wine offers an intriguing assortment of raspberry jam, black licorice, vanilla and spice box. It's elegant, with a supple feel to the tangy fruit flavors backed by a firm squeeze of tannins.",Tuttorosso,88,34.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Brian Carter Cellars 2010 Tuttorosso Red (Yakima Valley),Red Blend,Brian Carter Cellars
18401,Italy,"Exuberant aromas suggest tropical fruit and tomato vine. The palate is more restrained, showing subtle yellow peach, citrus and mineral alongside fresh acidity.",,88,22.0,Northeastern Italy,Colli Orientali del Friuli,,Kerin O’Keefe,@kerinokeefe,La Tunella 2013 Sauvignon (Colli Orientali del Friuli),Sauvignon,La Tunella
111565,France,"A slightly chunky and inelegant Côtes du Rhône, this wine nevertheless delivers satisfying and assertive notes of black olive, espresso and dark chocolate. Drink it over the next few years.",,86,12.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,André Brunel 2009 Red (Côtes du Rhône),Rhône-style Red Blend,André Brunel
43607,France,"Oaky notes of buttered toast, dried apple slices and baked peach are upfront in the bouquet of this wine. The palate is similarly rich and round, but with ample acidity to keep it from falling completely flat. Flavors of orange creamsicle and spiced apple linger on the close.",Reserve,84,10.0,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Phantom Bay 2014 Reserve Chardonnay (Vin de France),Chardonnay,Phantom Bay
45853,Spain,"This has raisin, earth, mint and dried herb aromas. It feels narrow, but concentrated, tasting of earthy tomato, baked plum and fresh green herb. It has a solid mouthfeel, with a mildly briney finish.",Crianza,84,9.0,Central Spain,La Mancha,,Michael Schachner,@wineschach,Finca Vieja 2007 Crianza Tempranillo (La Mancha),Tempranillo,Finca Vieja
25218,Italy,"Mineral tones and oak tones will integrate with time. With the wine's other notes of black cherry, licorice, bresaola, white pepper and black currant. Beautiful harmony and intensity, with a firm, silky signature on the finish.",,92,40.0,Tuscany,Brunello di Montalcino,,,,Podere Paganico 2007  Brunello di Montalcino,Sangiovese Grosso,Podere Paganico
12981,US,"It's rather understated in flavor, and more smooth and round than typical for the variety. This is a good, rich-textured, medium-bodied wine with straightforward flavors.",,84,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,Pomelo 2013 Sauvignon Blanc (California),Sauvignon Blanc,Pomelo
92285,US,"Ripe lemon, lime and tropical fruit flavors lend this wine a sugary tone. Fine acidity provides balance. Drink it with sweeter fare, such as ham, sausages, or melon with prosciutto.",,84,20.0,California,Sonoma County,Sonoma,,,Parkers Estate 2012 Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Parkers Estate
111286,Argentina,"Dry stone-fruit and desert-herb aromas lead to a mild soft low-acid palate. Pithy mildly bitter peach and melon flavors finish peachy, round and easy.",Brut Méthodo Tradicional,86,15.0,Mendoza Province,,,Michael Schachner,@wineschach,Valentin Bianchi NV Brut Méthodo Tradicional Sparkling,Sparkling Blend,Valentin Bianchi
65713,US,"You might want to give this 2–3 years in the cellar to meld. Currently, the palate is thick and heavy with jammy raspberries and cherries, with quite a lot of new French oak.",,87,44.0,California,Santa Maria Valley,Central Coast,,,Dierberg 2010 Pinot Noir (Santa Maria Valley),Pinot Noir,Dierberg
38861,US,"Nutty and substantial in texture, this pink sparkler is abundant in white peach, flowers and green apple. It's sharp and focused, with rich undertones of cherry and rose. The developed mouthfeel is balanced by dry, stony acidity.",Brut Rosé,90,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,J Vineyards & Winery NV Brut Rosé Sparkling (Russian River Valley),Sparkling Blend,J Vineyards & Winery
25385,Italy,"Blue flower, truffle, underbrush and perfumed berry aromas lead the nose on this structured but elegant wine. Firm, polished tannins provide the framework for crushed Morello cherry, black raspberry, white pepper and menthol flavors. It delivers an enviable combination of structure and finesse. Drink 2016–2029.",Cannubi,94,165.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Borgogno 2009 Cannubi  (Barolo),Nebbiolo,Borgogno
21203,US,"Earthy with subtle Asian spice and forest floor scents, this wine is medium in build and generous in tannin, still untangling its limbs in the glass.",Oehlman Vineyard,89,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Hawley 2014 Oehlman Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Hawley
9514,US,"Imposing, concentrated and tannic, this Syrah-based blend needs time to mature and soften. It has vivid aromas and flavors of black pepper, clove, cranberry and dark chocolate plus an almost rigid mouthfeel from a thick underpinning of fine tannins. The distinctive flavors match the powerful structure, so it should age well. Best to drink after 2020.",Mr. Burgess,92,36.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,The Withers Winery 2013 Mr. Burgess Red (El Dorado),Rhône-style Red Blend,The Withers Winery
118526,Chile,"Calina usually makes a nice value Chardonnay, and this vintage is no different. The wine has a chunky dry-peach opening, which is backed by a round, smooth palate and flavors of sweet pear, baked apple and roasted corn. Honey and orange notes make cameo appearances. Good for the price.",Reserva,87,10.0,Casablanca Valley,,,Michael Schachner,@wineschach,Calina 2009 Reserva Chardonnay (Casablanca Valley),Chardonnay,Calina
116147,US,"This Chardonnay—one of the best tasted in months—is light in the glass and shows clean, refreshing, yet compellingly rich sea salt, toasted sourdough, key lime and daffodil aromas. Its unique palate blends bright lemon-lime, Asian pear and Marcona almond flavors with a crushed shell minerality that brings the seashore to mind.",White Hills Vineyard,96,65.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,D'Alfonso-Curran 2013 White Hills Vineyard Chardonnay (Santa Barbara County),Chardonnay,D'Alfonso-Curran
30469,Portugal,"This big wine, now almost mature, shows dark plum and dense fruits that are pushed into shape by the firm tannins and wood aging flavors. The wine is dense and concentrated, with a fine juicy aftertaste that also promises further aging. Drink until 2020.",Reserva,90,19.0,Alentejo,,,Roger Voss,@vossroger,Herdade dos Machados 2011 Reserva Red (Alentejo),Portuguese Red,Herdade dos Machados
